02 02 2000	-0.0591	0.0001	-0.015	0	0.005	0.025	-0.031	0	0.039	0.055	0.046	0.024	0.0335	-0.4101	1
03 21 2000	-0.0465	0.0599	-0.01	-0.005	0.005	0.005	-0.005	0	0.022	0.018	-0.002	-0.004	-0.0283	0.0612	1
05 16 2000	0.0413	0.05	0.05	0.05	0.055	0.045	0.026	0.011	0.052	0.037	0.009	-0.002	-0.0285	-0.5454	1
06 28 2000	-0.025	-0.025	-0.02	-0.02	-0.03	-0.035	-0.031	-0.011	-0.026	-0.018	-0.015	-0.065	-0.0109	0.253	1
08 22 2000	-0.0172	0.0018	-0.005	0.015	0.03	0.03	0	0.005	0.017	0.014	0.008	-0.002	0.0001	-0.1262	1
10 03 2000	0	0	0.02	0.04	0.05	0.065	-0.01	0.005	0.055	0.044	0.025	-0.009	-0.0003	-0.3027	1
11 15 2000	-0.01	0.0158	0.007	0.015	0.01	0	0	0.005	0	-0.007	-0.021	0	-0.0396	-0.6675	1
12 19 2000	0.0646	0.015	0.03	0.02	0.015	0	0.011	0.016	0.013	0.014	0.026	-0.024	0.0507	-0.6911	1
01 03 2001	-0.393	-0.165	-0.14	-0.145	-0.1	-0.09	-0.156	-0.118	-0.016	0.053	0.052	0.14	0.0511	4.0758	1
01 31 2001	0.035	0.0491	0.04	-0.01	-0.035	-0.045	0.026	0.038	0.008	0.018	0.013	0.063	0.0067	-0.6236	1
03 20 2001	0.0705	-0.1823	-0.04	-0.065	-0.09	-0.09	0.005	-0.021	-0.034	-0.026	-0.008	-0.011	0.0152	-0.6796	1
04 18 2001	-0.4375	-0.4424	-0.38	-0.32	-0.36	-0.285	-0.233	-0.243	-0.233	-0.113	-0.027	0.005	0.0874	2.2296	1
05 15 2001	-0.0969	-0.115	-0.115	-0.135	-0.13	-0.165	-0.067	-0.094	-0.131	-0.079	-0.024	0.009	0.065	0.4088	1
06 27 2001	0.105	0.0585	0.07	0.065	0.075	0.06	0.072	0.047	0.055	0.022	0.011	-0.033	0.006	-0.4032	1
08 21 2001	0.0155	-0.0171	-0.004	-0.04	-0.055	-0.045	-0.005	-0.016	-0.038	-0.008	-0.006	0.002	-0.0035	-0.7122	1
10 02 2001	-0.0374	-0.0406	-0.055	-0.06	-0.06	-0.06	-0.036	-0.026	-0.008	-0.004	-0.0019	-0.0447	0.0504	-0.3072	1
11 06 2001	-0.15	-0.1267	-0.165	-0.16	-0.185	-0.17	-0.133	-0.124	-0.118	0.02	-0.019	0.027	0.0761	0.9404	1
12 11 2001	-0.0077	-0.025	-0.025	-0.07	-0.105	-0.105	-0.041	-0.041	-0.066	-0.075	-0.051	-0.017	-0.0207	0.2272	1
01 30 2002	0.025	0.0121	0.03	0.02	0.025	0.03	0.005	0.01	0	-0.009	-0.01	-0.009	-0.0118	-0.1275	1
03 19 2002	-0.0258	-0.0312	-0.055	-0.075	-0.075	-0.08	-0.052	-0.046	-0.071	-0.066	-0.052	-0.021	-0.0349	-0.3827	1
05 07 2002	0.0065	0	-0.02	-0.04	-0.055	-0.06	-0.01	-0.006	-0.0328	0	-0.0186	-0.01	-0.047	-0.3735	1
06 26 2002	0	0	0.01	0.015	0.005	0.005	0.005	0	0	0.0141	0.0081	0.0011	0.0004	-0.6048	1
08 13 2002	0.0431	-0.005	-0.025	-0.08	-0.16	-0.195	-0.02	-0.093	-0.0978	-0.0544	-0.0515	-0.0311	-0.0508	-0.6976	1
